統計期,登記發生日期,離婚對數總計,離婚對數相同性別,離婚對數對象為本國國籍配偶,離婚對數對象為大陸港澳配偶,離婚對數對象為其他外籍配偶,離婚對數中配偶為大陸港澳及其他外籍人士之對數比率,平均離婚年齡男,平均離婚年齡女
80年,登記日期,5018,0,0,0,0,0,0,0
80年,發生日期,0,0,0,0,0,0,0,0
81年,登記日期,4912,0,0,0,0,0,0,0
81年,發生日期,0,0,0,0,0,0,0,0
82年,登記日期,4952,0,0,0,0,0,0,0
82年,發生日期,0,0,0,0,0,0,0,0
83年,登記日期,4986,0,0,0,0,0,0,0
83年,發生日期,0,0,0,0,0,0,0,0
84年,登記日期,5084,0,0,0,0,0,0,0
84年,發生日期,0,0,0,0,0,0,0,0
85年,登記日期,5528,0,0,0,0,0,0,0
85年,發生日期,0,0,0,0,0,0,0,0
86年,登記日期,5344,0,0,0,0,0,0,0
86年,發生日期,0,0,0,0,0,0,0,0
87年,登記日期,5788,0,5646,0,142,2.45,0,0
87年,發生日期,5811,0,0,0,0,0,0,0
88年,登記日期,6327,0,6163,0,164,2.59,0,0
88年,發生日期,6333,0,0,0,0,0,0,0
89年,登記日期,6588,0,6326,0,262,3.98,0,0
89年,發生日期,6595,0,0,0,0,0,0,0
90年,登記日期,6853,0,6541,0,312,4.55,0,0
90年,發生日期,6858,0,0,0,0,0,0,0
91年,登記日期,7390,0,7058,0,332,4.49,0,0
91年,發生日期,7430,0,0,0,0,0,0,0
92年,登記日期,7137,0,7137,517,0,7.24,42.67,37.79
92年,發生日期,7155,0,0,0,0,0,42.23,37.33
93年,登記日期,6843,0,6036,807,0,11.79,42.91,38.10
93年,發生日期,6791,0,0,0,0,0,42.39,37.59
94年,登記日期,6589,0,5839,750,0,11.38,42.94,38.38
94年,發生日期,6575,0,0,0,0,0,42.40,37.86
95年,登記日期,6930,0,6114,816,0,11.77,43.67,39.12
95年,發生日期,6943,0,0,0,0,0,43.17,38.64
96年,登記日期,6259,0,5068,790,401,19.03,43.86,39.40
96年,發生日期,6237,0,0,0,0,0,43.35,38.88
97年,登記日期,5845,0,4698,734,413,19.62,44.23,39.61
97年,發生日期,5874,0,0,0,0,0,43.77,39.14
98年,登記日期,6007,0,4579,965,463,23.77,44.97,40.13
98年,發生日期,5975,0,0,0,0,0,44.48,39.67
99年,登記日期,6092,0,4375,1231,486,28.18,45.49,40.16
99年,發生日期,6104,0,0,0,0,0,45.00,39.63
100年,登記日期,5841,0,4394,1021,426,24.77,45.16,40.28
100年,發生日期,5875,0,0,0,0,0,44.65,39.79
101年,登記日期,5818,0,4403,945,470,24.32,45.20,40.52
101年,發生日期,5770,0,0,0,0,0,45.16,40.51
102年,登記日期,5442,0,4211,820,411,22.62,44.69,40.19
102年,發生日期,5455,0,0,0,0,0,44.77,40.23
103年,登記日期,5528,0,4260,847,421,22.94,43.82,39.77
103年,發生日期,5532,0,0,0,0,0,44.33,40.05
104年,登記日期,5499,0,4323,780,396,21.39,44.61,40.37
104年,發生日期,5486,0,0,0,0,0,44.61,40.36
105年,登記日期,5532,0,4420,700,412,20.10,44.64,40.38
105年,發生日期,5537,0,0,0,0,0,44.63,40.39
106年,登記日期,5500,0,4392,708,400,20.15,44.71,40.75
106年,發生日期,5476,0,0,0,0,0,44.70,40.78
107年,登記日期,5542,0,4464,726,352,19.45,44.89,41.10
107年,發生日期,5554,0,0,0,0,0,44.85,41.01
108年,登記日期,5470,0,4451,641,378,18.63,45.04,41.37
108年,發生日期,5436,0,0,0,0,0,45.06,41.45
109年,登記日期,4808,33,4115,394,299,14.41,44.83,41.39
109年,發生日期,4796,33,0,0,0,0,44.81,41.37
110年,登記日期,4354,51,3715,363,276,14.68,45.32,41.92
110年,發生日期,4368,51,0,0,0,0,45.32,41.91
111年,登記日期,4530,39,3826,391,313,15.54,45.64,42.22
111年,發生日期,4557,39,0,0,0,0,45.63,42.22
112年,登記日期,5037,73,4127,527,383,18.07,45.88,42.57
112年,發生日期,5060,73,0,0,0,0,45.94,42.61
113年,登記日期,4751,57,3900,498,353,17.91,46.26,42.97
113年,發生日期,0,0,0,0,0,0,0,0
