FacilityClassification,District,FacilityName,FacilityAddress,Recent,OpenDay,OpenTime,latitude,longitude,Remarks
列管公墓,士林區,士林第一公墓,位於士林區福林路與至善路1段雙溪公園停車場旁(大理石廠旁至善路1段116巷進入),全面禁葬,全年,全日,25.09869118,121.5362484,無
列管公墓,士林區,士林第三公墓,至善路3段336巷有一小廟前雙叉路天溪園停車場內約3公里),全面禁葬,全年,全日,25.13627693,121.5902408,無
列管公墓,士林區,士林第四公墓,"由明德樂園轉至善路3段71巷進入接平菁街,位於士林區平菁街43巷底",全面禁葬,全年,全日,25.13970478,121.5773387,無
列管公墓,士林區,士林第五公墓,位於士林區永公路517號右側田園中央,全面禁葬,全年,全日,25.13970478,121.5690646,無
列管公墓,士林區,士林第八公墓,"位於士林區士東路353巷旁,五顯中里堂對面",全面禁葬,全年,全日,25.11913621,121.541858,無
列管公墓,士林區,士林第十一公墓,"仰德大道進入,位於士林區永公路、菁山路交叉口,旁有球場。",全面禁葬,全年,全日,25.14275168,121.556443,無
列管公墓,中山區,中山第一公墓,位於中山區，依地形分別位於劍潭山凌線步徑-劍南路之福山產業道路、北安路501巷101之1號右前方100公尺及通北街118巷左側水坡地,全面禁葬,全年,全日,25.09259226,121.5422916,無
列管公墓,內湖區,內湖第三公墓,位於內湖區碧山露營場後山，福音山私人墓園下方約200公尺，與私地緊鄰。,全面禁葬,全年,全日,25.10454673,121.5853161,無
列管公墓,內湖區,內湖第三之一公墓,位於內湖區金龍寺往碧山露營場產業道路旁(電線杆61號旁有小路),全面禁葬,全年,全日,25.09933993,121.5721336,無
列管公墓,內湖區,內湖第七公墓,位於內湖區康樂街267之1號北天宮右上方,全面禁葬,全年,全日,25.09260886,121.6247236,無
列管公墓,內湖區,內湖第七之一公墓,位於內湖區康樂街275巷右側產業道路上方,全面禁葬,全年,全日,25.09565694,121.6224798,無
列管公墓,內湖區,內湖第九公墓,鄰近內湖區陽光街、江南街與成功路3段,全面禁葬,全年,全日,25.07698629,121.5820906,無
列管公墓,北投區,北投第八公墓,"位於北投泉源里登山路75號左側下方(由張公聖君廟進入,左手方有路可進入墓區)",全面禁葬,全年,全日,25.15025541,121.516318,無
列管公墓,北投區,北投第九公墓,"頂湖公車站旁,東昇路116號旁進入約2400公尺",全面禁葬,全年,全日,25.15330205,121.5317444,無
列管公墓,北投區,北投第十公墓,位於北投區湖山里竹子湖路30號正後方為陽明山國家公園規劃範圍,全面禁葬,全年,全日,25.17415871,121.5358537,無
列管公墓,北投區,北投第十一公墓,"仰道大道接菁山路接竹子湖路，位於北投區湖山里竹子湖路83號正前方200公尺處為陽明山國家公園規劃範圍,公車後山站。",全面禁葬,全年,全日,25.18905563,121.5582649,無
列管公墓,大安區,大安第六公墓,位於大安區崇德街底(崇德街125號進入),全面禁葬,全年,全日,25.02239384,121.5622315,部分遷葬
列管公墓,大安區,大安第九公墓,位於大安區辛亥隧道北端右側第二殯儀館及自來水廠後方山坡地,全面禁葬,全年,全日,25.01448613,121.5503318,部分遷葬
列管公墓,大安區,古亭第十公墓,位於大安區基隆路3段155 巷底,全面禁葬,全年,全日,25.01322804,121.5455718,無
列管公墓,文山區,木柵第六公墓,位於文山區貓空山區,全面禁葬,全年,全日,24.97188361,121.5937659,無
列管公墓,文山區,木柵第九公墓,近博嘉國小旁、敦南山林社區,全面禁葬,全年,全日,25.00370208,121.5751229,無
列管公墓,文山區,景美第五公墓,位於文山區福興路78巷上方,全面禁葬,全年,全日,25.0080587,121.5524848,無
列管公墓,文山區,景美第十三公墓,位於文山區辛亥路4段166巷上方,全面禁葬,全年,全日,25.00915446,121.5535271,無
列管公墓,南港區,南港第一公墓,位於南港忠孝東路7段臺鐵貨運服務所對面,全面禁葬,全年,全日,25.05437889,121.6122105,無
列管公墓,南港區,南港第八公墓,位於南港區研究院路3段161巷邊側山上,全面禁葬,全年,全日,25.03281685,121.6185571,無
列管公墓,南港區,南港第九公墓,位於南港區研究院路3段161巷邊側山上,全面禁葬,全年,全日,25.02844785,121.6179281,無
列管公墓,南港區,南港第十公墓,位於南港區研究院路4段50巷邊小徑山上,全面禁葬,全年,全日,25.02687084,121.6022402,無
列管公墓,南港區,南港第十一公墓,位於南港區南深路19巷前方,全面禁葬,全年,全日,25.038615,121.6205354,無
公墓,文山區,富德公墓,文山區木柵路4段159巷130號,受理申請七年輪葬,全年,08:00~16:00,25.01136453,121.5803375,無
公墓,北投區,陽明山第一公墓,臺北市北投區泉源路220號,受理預留壽穴申請,全年,08:00~16:00,25.13869528,121.5278247,無
公墓,信義區,信義示範公墓,位於大安區崇德街底,全面禁葬,全年,全日,25.0177571,121.5643411,無
